village,vlcode,district,landslide_count,rainfall_station,rainfall_distance_m,river_station,river_distance_m,highway,road_distance_m,mean_slope_deg
Thuwamara,054252,Champawat,0,Champawat_1,7381.526421299348,Kheri_5,93766.28886975309,unclassified,0.0,
Chamiai,053803,Champawat,0,Champawat_1,842.2899040064722,Kheri_5,98058.17382374784,path,0.0,
Dungra Kot,053986,Champawat,0,Rithakhal,4062.0129105873675,Kheri_5,80892.77581029055,tertiary,0.0,
Nigali Garh,054183,Champawat,0,Champawat_1,11481.931823600089,Kheri_5,93541.01702527322,primary,0.0,
Bapru Talla,054201,Champawat,0,Champawat_1,12209.4250874347,Kheri_5,97113.84734082012,trunk,0.0,
Bayoli Lagga Talla Bapru,054200,Champawat,0,Champawat_1,12562.331597631635,Kheri_5,97070.9470176891,trunk,0.0,
Khakora,054194,Champawat,0,Champawat_1,12542.522497289994,Kheri_5,97931.29366240143,trunk,228.8797371757985,
Gairi,054197,Champawat,0,Champawat_1,12704.122127370258,Kheri_5,95077.77587637679,trunk,0.0,
Chamoli,052471,Almora,0,Kosi_1,16073.38799705579,Marchula_1,33572.934684343316,trunk,0.0,
Bunga,054669,Nainital,0,Nainital_1,15392.340945479262,Kheri_5,30450.43682125373,tertiary,0.0,
Chilal Gaon,052762,Almora,0,Kosi_1,19706.601948024843,Marchula_1,35276.81872868041,unclassified,0.0,
Mang Chaura,052426,Almora,0,Kosi_1,16582.507373374647,Marchula_1,33762.92112953055,unclassified,217.24761001373344,
Jabka,051679,Almora,0,Kosi_1,32572.706311299145,Marchula_1,21155.635884583426,path,0.0,
Syalkot Palla,051736,Almora,0,Nainital_1,32059.18886985726,Marchula_1,17414.51442261831,unclassified,0.0,
Srikote Unchi,051700,Almora,0,Kosi_1,34667.4671821357,Marchula_1,15970.35465406618,tertiary,0.0,
Champa,053018,Almora,0,Kosi_1,5907.818084981745,Marchula_1,42923.39990967678,unclassified,0.0,
Mahar Khola,052521,Almora,0,Nainital_1,14037.83454552552,Kheri_5,38484.16560653784,trunk,198.7604531255943,
Pajina,052558,Almora,0,Kosi_1,10674.704369863026,Marchula_1,41238.253639927076,tertiary,0.0,
Matila,052531,Almora,0,Kosi_1,10194.984580266586,Marchula_1,39501.85272317046,unclassified,0.0,
Nigrar,054752,Nainital,0,Mukteshwar_1,6119.749522639584,Kheri_5,50168.041164686634,secondary,179.5136206075024,
Kakrat Maufi,052945,Almora,0,Kosi_1,8000.6380946514455,Marchula_1,44750.61788221463,tertiary,476.282087181913,
Walsa Talla,053390,Almora,0,Kosi_1,7000.8930427142395,Marchula_1,51287.176751882704,unclassified,727.849188214983,
Khori,052998,Almora,0,Kosi_1,7498.21322858423,Marchula_1,43360.13545716341,unclassified,0.0,
Jaminiwar,052720,Almora,0,Kosi_1,28902.734962048882,Marchula_1,28318.64482672998,tertiary,0.0,
Papoli,051865,Almora,0,Gairsain (Ramganga),24185.27846125422,Marchula_1,30361.61204956391,unclassified,0.0,
Kui,052703,Almora,0,Kosi_1,24283.310412142408,Marchula_1,33733.800609260565,tertiary,0.0,
Hulank Talli Mirai,052710,Almora,0,Kosi_1,20858.211607481622,Marchula_1,36853.806318362265,unclassified,0.0,
Chora,052689,Almora,0,Baijnath (Gomti),24799.176264380636,Marchula_1,34563.6488890841,unclassified,0.0,
Pali,052577,Almora,0,Gairsain (Ramganga),27471.605438627124,Marchula_1,27792.850224838083,tertiary,0.0,
Chanauda,053268,Almora,0,Baijnath (Gomti),10806.657040070964,Marchula_1,53013.616273454296,secondary,0.0,
Salauj,053302,Almora,0,Baijnath (Gomti),13461.622007801392,Marchula_1,49192.13549333997,primary,57.73547407903951,
Malla Doba,051450,Bageshwar,0,Baijnath (Gomti),6558.767736310135,Marchula_1,58090.45540312386,unclassified,24.500838936130386,
Simtola,053078,Almora,0,Almora_1,6425.307289582618,Marchula_1,58854.16920639296,unclassified,354.0871366542015,
Gurera,053429,Almora,0,Lamgara,3835.330778498045,Marchula_1,66966.29124733331,tertiary,476.55923498132387,
Dinapani,053058,Almora,0,Almora_1,7383.122770704923,Marchula_1,57416.932651723924,path,0.0,
Mirtola,053539,Almora,0,Lamgara,13181.07883418123,Marchula_1,70220.25293530498,unclassified,30.83874645675033,
Upna Mafi,050113,Pithoragarh,0,Pithoragarh,11725.778689647834,Marchula_1,94233.55843673945,tertiary,0.0,
